number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch_depth,params_net_arch_width,params_ortho_init,params_vf_coef,state
0,-756.2,2025-10-25 16:00:06.616964,2025-10-25 16:00:07.601446,0 days 00:00:00.984482,relu,1024,0.4,8.07392799405197e-05,0.92,0.8,4.1803103436232554e-05,linear,0.5,10,256,2,8,True,0.3415561556474144,COMPLETE
1,-314.6,2025-10-25 16:00:07.601664,2025-10-25 16:00:10.387534,0 days 00:00:02.785870,relu,512,0.2,6.574445755401078e-06,0.9,0.999,0.020697717104793595,linear,2.0,10,2048,2,512,False,0.37860931347789906,COMPLETE
