number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch_depth,params_net_arch_width,params_ortho_init,params_vf_coef,state
0,-658.2,2025-10-25 16:15:01.499763,2025-10-25 16:15:04.143880,0 days 00:00:02.644117,relu,16,0.1,2.79592851355185e-07,0.9,0.95,6.861346211974319e-05,linear,1.0,5,1024,3,256,True,0.6096199409080876,COMPLETE
1,-9.2,2025-10-25 16:15:04.144138,2025-10-25 16:15:06.336593,0 days 00:00:02.192455,relu,512,0.1,0.00541362496616929,0.9,0.95,1.5446251426958884e-05,constant,0.8,10,64,2,512,False,0.9397269365273601,COMPLETE
