number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
0,-2400.6,2026-02-05 20:01:16.720498,2026-02-05 20:01:24.319472,0 days 00:00:07.598974,64,0.1,2.921666912319766e-05,0.8,0.5,0.06095851491020238,linear,2.0,1,32,0.3249247112338496,COMPLETE
1,-331.8,2026-02-05 20:01:24.319655,2026-02-05 20:01:26.817513,0 days 00:00:02.497858,16,0.2,1.3550553797000858e-05,0.8,0.995,0.001089708469753885,linear,0.8,10,1024,0.7277925622662409,COMPLETE
