number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
0,-306.6,2025-10-30 00:42:55.154577,2025-10-30 00:42:57.673299,0 days 00:00:02.518722,8,0.2,1.8212980572758934e-08,0.9,0.995,7.854311293991263e-05,constant,1.0,5,128,0.3048693693043607,COMPLETE
1,-73.8,2025-10-30 00:42:57.673510,2025-10-30 00:43:01.311863,0 days 00:00:03.638353,1024,0.1,2.85175748992438e-08,0.99,0.9,0.00020794427754539948,constant,0.8,1,16,0.5326528657959859,COMPLETE
