number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_lr_schedule,params_max_grad_norm,params_n_epochs,params_n_steps,params_vf_coef,state
0,-486.0,2026-02-05 22:05:10.329475,2026-02-05 22:05:12.831394,0 days 00:00:02.501919,8,0.3,1.639023697686828e-05,0.8,0.999,0.015316610932450283,constant,2.0,5,64,0.17438830330404742,COMPLETE
1,-14.2,2026-02-05 22:05:12.831608,2026-02-05 22:05:16.723093,0 days 00:00:03.891485,1024,0.3,0.028819830973282928,0.95,0.5,0.0032527904946409256,constant,0.9,10,8,0.2718333046722866,COMPLETE
